,id,codigo,nome,altitude,latitude,longitude,coord_x,coord_y,bacia,distrito,concelho,freguesia,responsavel_aut,responsavel_con,estacao_aut,estacao_con,entrada_con,encerra_con,entrada_aut,encerra_aut,telemetria,estado,est_id,geom
202,1055,12L/03G,COUTO DE DORNELAS,679.0,41.638,-7.84,224429.0,518737.0,DOURO,VILA REAL,BOTICAS,DORNELAS,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,1931-12-05,,2003-05-16,2009-12-29,NÃO,DESATIVADA,920686002,"{'type': 'Point', 'coordinates': ['-7.84', '41.638']}"
203,1056,16E/01UG,COVAS,113.0,41.882,-8.701,152827.452,546007.014,MINHO,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,COVAS,nan,CCDR-NORTE,nan,UDOMÉTRICA,1932-10-01,1960-09-30,,,NÃO,EXTINTA,920752568,"{'type': 'Point', 'coordinates': ['-8.701', '41.882']}"
204,1057,24J/03UG,COVELO DE PAIVÔ,529.0,40.866832,-8.162531,197521.101,433091.072,DOURO,AVEIRO,AROUCA,COVELO DE PAIVÓ,nan,CCDR-NORTE,nan,UDOMÉTRICA,1944-06-01,1985-09-30,,,NÃO,EXTINTA,920752368,"{'type': 'Point', 'coordinates': ['-8.162531', '40.866832']}"
205,1059,06K/03U,COVILHÃ,719.0,40.284891,-7.510283,252965.162,368653.291,TEJO,CASTELO BRANCO,COVILHÃ,COVILHÃ (CONCEIÇÃO),Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,1939-10-01,,1998-06-02,,SIM,ATIVA,920686158,"{'type': 'Point', 'coordinates': ['-7.510283', '40.284891']}"
206,1060,14G/04UG,CRESPOS,439.0,39.597,-8.7,151282.629,292221.249,LIS/RIBEIRAS COSTEIRAS,LEIRIA,BATALHA,SÃO MAMEDE,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1980-10-01,,2001-10-04,,NÃO,ATIVA,920685276,"{'type': 'Point', 'coordinates': ['-8.7', '39.597']}"
207,1061,12J/01UG,CUBA,180.0,38.16797,-7.887533,221518.0,133474.0,GUADIANA,BEJA,CUBA,CUBA,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1931-09-06,,2001-02-13,,NÃO,ATIVA,920685278,"{'type': 'Point', 'coordinates': ['-7.887533', '38.16797']}"
208,1062,19O/03UG,CUBALHÃO,753.0,42.056,-8.248,190528.313,565141.419,MINHO,VIANA DO CASTELO,MELGAÇO,CUBALHÃO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,1980-10-01,,2003-06-01,,NÃO,ATIVA,920686070,"{'type': 'Point', 'coordinates': ['-8.248', '42.056']}"
209,1063,13F/02UG,CUMEEIRA,379.0,41.248789,-7.768093,230597.338,475573.035,DOURO,VILA REAL,SANTA MARTA DE PENAGUIÃO,CUMIEIRA,nan,IVP-INAG,nan,UDOMÉTRICA,1943-10-01,1961-09-30,,,NÃO,EXTINTA,920752650,"{'type': 'Point', 'coordinates': ['-7.768093', '41.248789']}"
210,1065,29J/02U,DEGOLADOS,269.0,39.058213,-7.119964,287693.673,232758.188,GUADIANA,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1980-10-01,,2001-02-21,,NÃO,ATIVA,920685280,"{'type': 'Point', 'coordinates': ['-7.119964', '39.058213']}"
211,1066,07H/01UG,DEGRACIAS,326.0,40.01,-8.522,166823.358,338002.869,MONDEGO,COIMBRA,SOURE,DEGRACIAS,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2003-06-18,,NÃO,ATIVA,920685282,"{'type': 'Point', 'coordinates': ['-8.522', '40.01']}"
212,1067,05J/02U,DEILÃO,892.0,41.847,-6.586,328502.949,543060.736,DOURO,BRAGANÇA,BRAGANÇA,DEILÃO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,1932-01-01,,2003-02-25,,SIM,ATIVA,920685284,"{'type': 'Point', 'coordinates': ['-6.586', '41.847']}"
213,1068,06F/03UG,DUGUENO,285.0,37.415402,-7.96799,214613.758,49928.315,GUADIANA,BEJA,ALMODÔVAR,SANTA CRUZ,nan,CCDR-ALENTEJO,nan,UDOMÉTRICA,1979-10-01,1984-09-30,,,NÃO,EXTINTA,920752552,"{'type': 'Point', 'coordinates': ['-7.96799', '37.415402']}"
214,1070,10I/01UG,ERMELO,424.0,41.365455,-7.884766,220781.104,488495.734,DOURO,VILA REAL,MONDIM DE BASTO,ERMELO,nan,CCDR-NORTE,nan,UDOMÉTRICA,1957-03-01,1960-12-30,,,NÃO,EXTINTA,920752580,"{'type': 'Point', 'coordinates': ['-7.884766', '41.365455']}"
215,1071,20G/01UG,ERMESINDE,73.0,41.221,-8.559,164294.614,472510.637,LEÇA,PORTO,VALONGO,ERMESINDE,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2003-03-24,,NÃO,ATIVA,920686006,"{'type': 'Point', 'coordinates': ['-8.559', '41.221']}"
216,1072,08N/03G,ERMIDA,337.0,41.699,-8.118,201251.109,525488.184,CÁVADO/RIBEIRAS COSTEIRAS,BRAGA,TERRAS DE BOURO,VILAR DA VEIGA,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,1949-12-23,,2003-04-02,,NÃO,ATIVA,920685288,"{'type': 'Point', 'coordinates': ['-8.118', '41.699']}"
217,1073,08P/02G,ERMIDA (TONDELA),293.0,40.506551,-8.100853,202735.028,393082.198,MONDEGO,VISEU,TONDELA,TONDELA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1941-10-01,,2003-06-17,,NÃO,ATIVA,920685290,"{'type': 'Point', 'coordinates': ['-8.100853', '40.506551']}"
218,1075,08F/02UG,ERVEDOSA (PINHEL),506.0,40.842,-7.183,280125.333,430718.548,DOURO,GUARDA,PINHEL,ERVEDOSA,nan,CCDR-CENTRO,nan,UDOGRÁFICA,1956-08-14,2000-12-31,,,NÃO,EXTINTA,920686072,"{'type': 'Point', 'coordinates': ['-7.183', '40.842']}"
219,1076,19N/03UG,ESCALHÃO,615.0,40.948,-6.924,301773.849,442771.962,DOURO,GUARDA,FIGUEIRA DE CASTELO RODRIGO,ESCALHÃO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,1936-10-01,,2001-10-09,,SIM,ATIVA,920685294,"{'type': 'Point', 'coordinates': ['-6.924', '40.948']}"
220,1077,04E/02UG,ESCUDEIROS,190.0,41.482,-8.426,175549.678,501464.54,AVE,BRAGA,BRAGA,ESCUDEIROS,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,1980-05-01,,2003-02-26,,NÃO,ATIVA,920685296,"{'type': 'Point', 'coordinates': ['-8.426', '41.482']}"
221,1079,31J/04UG,ESPERANÇA,341.0,39.15738,-7.195245,281063.879,243698.03,GUADIANA,PORTALEGRE,ARRONCHES,ESPERANÇA,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1979-10-12,,2001-02-21,,NÃO,ATIVA,920685300,"{'type': 'Point', 'coordinates': ['-7.195245', '39.15738']}"
222,1080,11F/02UG,ESPÍRITO SANTO,179.0,37.529297,-7.626321,244792.544,62676.719,GUADIANA,BEJA,MÉRTOLA,ESPÍRITO SANTO,nan,CCDR-ALENTEJO,nan,UDOMÉTRICA,1979-10-01,1984-09-30,,,NÃO,EXTINTA,920752652,"{'type': 'Point', 'coordinates': ['-7.626321', '37.529297']}"
223,1081,14K/04UG,ESPOSENDE,6.0,41.531,-8.776,146310.886,507021.796,CÁVADO/RIBEIRAS COSTEIRAS,BRAGA,ESPOSENDE,ESPOSENDE,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2003-05-01,,NÃO,ATIVA,920685302,"{'type': 'Point', 'coordinates': ['-8.776', '41.531']}"
224,1082,20L/01G,ESTOI,63.0,37.091,-7.911,219768.0,13963.0,RIBEIRAS DO ALGARVE,FARO,FARO,ESTOI,Autoridade Nacional da Água,CCDR-ALGARVE,UDOGRÁFICA,UDOMÉTRICA,1980-08-01,,2001-03-15,,NÃO,ATIVA,920685304,"{'type': 'Point', 'coordinates': ['-7.911', '37.091']}"
225,1084,05H/01UC,ESTREITO,716.0,39.948,-7.793,229082.0,331081.0,TEJO,CASTELO BRANCO,OLEIROS,ESTREITO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2002-03-01,,NÃO,ATIVA,920685308,"{'type': 'Point', 'coordinates': ['-7.793', '39.948']}"
