date,rainfall,station
1953-10-01 09:00:00,93.5,920752656
1953-11-01 09:00:00,87.6,920752656
1953-12-01 09:00:00,124.2,920752656
1954-01-01 09:00:00,22.9,920752656
1954-02-01 09:00:00,18.5,920752656
1954-03-01 09:00:00,103.9,920752656
1954-04-01 09:00:00,33.8,920752656
1954-05-01 09:00:00,0.0,920752656
1954-06-01 09:00:00,1.3,920752656
1954-07-01 09:00:00,0.0,920752656
1954-08-01 09:00:00,0.0,920752656
1954-09-01 09:00:00,0.0,920752656
1954-10-01 09:00:00,7.1,920752656
1954-11-01 09:00:00,55.6,920752656
1954-12-01 09:00:00,25.1,920752656
1955-01-01 09:00:00,178.3,920752656
1955-02-01 09:00:00,96.3,920752656
1955-03-01 09:00:00,205.2,920752656
1955-04-01 09:00:00,6.1,920752656
1955-05-01 09:00:00,40.4,920752656
1955-06-01 09:00:00,6.3,920752656
1955-07-01 09:00:00,0.0,920752656
1955-08-01 09:00:00,3.8,920752656
1955-09-01 09:00:00,0.0,920752656
1955-10-01 09:00:00,206.8,920752656
1955-11-01 09:00:00,120.4,920752656
1955-12-01 09:00:00,89.7,920752656
1956-01-01 09:00:00,102.2,920752656
1956-02-01 09:00:00,70.1,920752656
1956-03-01 09:00:00,129.8,920752656
1956-04-01 09:00:00,138.4,920752656
1956-05-01 09:00:00,12.2,920752656
1956-06-01 09:00:00,0.0,920752656
1956-07-01 09:00:00,0.0,920752656
1956-08-01 09:00:00,0.4,920752656
1956-09-01 09:00:00,34.5,920752656
1956-10-01 09:00:00,55.7,920752656
1956-11-01 09:00:00,29.2,920752656
1956-12-01 09:00:00,34.8,920752656
1957-01-01 09:00:00,20.0,920752656
1957-02-01 09:00:00,34.4,920752656
1957-03-01 09:00:00,44.6,920752656
1957-04-01 09:00:00,48.6,920752656
1957-05-01 09:00:00,53.4,920752656
1957-06-01 09:00:00,19.6,920752656
1957-07-01 09:00:00,7.2,920752656
1957-08-01 09:00:00,0.0,920752656
1957-09-01 09:00:00,71.6,920752656
1957-10-01 09:00:00,80.8,920752656
1957-11-01 09:00:00,70.4,920752656
1957-12-01 09:00:00,32.6,920752656
1958-01-01 09:00:00,184.8,920752656
1958-02-01 09:00:00,28.4,920752656
1958-03-01 09:00:00,42.0,920752656
1958-04-01 09:00:00,6.8,920752656
1958-05-01 09:00:00,0.4,920752656
1958-06-01 09:00:00,14.4,920752656
1958-07-01 09:00:00,1.2,920752656
1958-08-01 09:00:00,5.4,920752656
1958-09-01 09:00:00,1.6,920752656
1958-10-01 09:00:00,5.0,920752656
1958-11-01 09:00:00,63.2,920752656
1958-12-01 09:00:00,275.4,920752656
1959-01-01 09:00:00,26.2,920752656
1959-02-01 09:00:00,47.6,920752656
1959-03-01 09:00:00,92.9,920752656
1959-04-01 09:00:00,24.4,920752656
1959-05-01 09:00:00,75.4,920752656
1959-06-01 09:00:00,0.0,920752656
1959-07-01 09:00:00,0.0,920752656
1959-08-01 09:00:00,0.0,920752656
1959-09-01 09:00:00,33.2,920752656
1959-10-01 09:00:00,71.6,920752656
1959-11-01 09:00:00,78.0,920752656
1959-12-01 09:00:00,53.2,920752656
1960-01-01 09:00:00,75.6,920752656
1960-02-01 09:00:00,168.0,920752656
1960-03-01 09:00:00,116.8,920752656
1960-04-01 09:00:00,17.6,920752656
1960-05-01 09:00:00,36.0,920752656
1960-06-01 09:00:00,22.4,920752656
1960-07-01 09:00:00,0.0,920752656
1960-08-01 09:00:00,2.6,920752656
1960-09-01 09:00:00,20.9,920752656
1960-10-01 09:00:00,118.2,920752656
1960-11-01 09:00:00,59.0,920752656
1960-12-01 09:00:00,37.3,920752656
1961-01-01 09:00:00,44.4,920752656
1961-02-01 09:00:00,7.1,920752656
1961-03-01 09:00:00,88.0,920752656
1961-04-01 09:00:00,23.6,920752656
1961-05-01 09:00:00,99.6,920752656
1961-06-01 09:00:00,34.6,920752656
1961-07-01 09:00:00,0.0,920752656
1961-08-01 09:00:00,0.0,920752656
1961-09-01 09:00:00,27.2,920752656
1961-10-01 09:00:00,37.2,920752656
1961-11-01 09:00:00,151.2,920752656
1961-12-01 09:00:00,67.2,920752656
1962-01-01 09:00:00,313.4,920752656
1962-02-01 09:00:00,17.8,920752656
1962-03-01 09:00:00,120.0,920752656
1962-04-01 09:00:00,45.6,920752656
1962-05-01 09:00:00,14.0,920752656
1962-06-01 09:00:00,26.0,920752656
1962-07-01 09:00:00,0.0,920752656
1962-08-01 09:00:00,0.0,920752656
1962-09-01 09:00:00,1.4,920752656
1962-10-01 09:00:00,197.6,920752656
1962-11-01 09:00:00,57.8,920752656
1962-12-01 09:00:00,130.2,920752656
1963-01-01 09:00:00,180.6,920752656
1963-02-01 09:00:00,122.2,920752656
1963-03-01 09:00:00,50.0,920752656
1963-04-01 09:00:00,123.4,920752656
1963-05-01 09:00:00,22.0,920752656
1963-06-01 09:00:00,27.2,920752656
1963-07-01 09:00:00,0.0,920752656
1963-08-01 09:00:00,0.0,920752656
1963-09-01 09:00:00,10.2,920752656
1963-10-01 09:00:00,13.8,920752656
1963-11-01 09:00:00,105.8,920752656
1963-12-01 09:00:00,210.4,920752656
1964-01-01 09:00:00,87.4,920752656
1964-02-01 09:00:00,67.8,920752656
1964-03-01 09:00:00,110.7,920752656
1964-04-01 09:00:00,19.2,920752656
1964-05-01 09:00:00,0.8,920752656
1964-06-01 09:00:00,31.0,920752656
1964-07-01 09:00:00,0.5,920752656
1964-08-01 09:00:00,0.0,920752656
1964-09-01 09:00:00,33.2,920752656
1964-10-01 09:00:00,5.8,920752656
1964-11-01 09:00:00,34.2,920752656
1964-12-01 09:00:00,14.8,920752656
1965-01-01 09:00:00,62.0,920752656
1965-02-01 09:00:00,52.6,920752656
1965-03-01 09:00:00,73.2,920752656
1965-04-01 09:00:00,2.2,920752656
1965-05-01 09:00:00,2.7,920752656
1965-06-01 09:00:00,16.0,920752656
1965-07-01 09:00:00,0.1,920752656
1965-08-01 09:00:00,0.0,920752656
1965-09-01 09:00:00,58.5,920752656
1965-10-01 09:00:00,262.7,920752656
1965-11-01 09:00:00,104.6,920752656
1965-12-01 09:00:00,32.6,920752656
1966-01-01 09:00:00,70.5,920752656
1966-02-01 09:00:00,140.1,920752656
1966-03-01 09:00:00,0.0,920752656
1966-04-01 09:00:00,61.6,920752656
1966-05-01 09:00:00,5.8,920752656
1966-06-01 09:00:00,20.0,920752656
1966-07-01 09:00:00,0.0,920752656
